Customer,Ship-to,Billing Date,Billing Date_parsed,Billing Date_parsed_year,Billing Date_parsed_month,Billing Date_parsed_day,Material,Material_1,Quantity,Unit,Unit/CTN,CTN,Product Group,Flavor,Pack,Size
7 - Eleven,ศูนย์กระจายสินค้าขอนแก่น (W801),1/3/23,2023-01-03T00:00:00.000Z,2023,1,3,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,63.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า RDCชลบุรีใหม่ W121,1/3/23,2023-01-03T00:00:00.000Z,2023,1,3,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,63.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า RDC WESTมหาชัย,1/3/23,2023-01-03T00:00:00.000Z,2023,1,3,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,168.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า DC5 สุวรรณภูมิ,1/3/23,2023-01-03T00:00:00.000Z,2023,1,3,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,168.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศุนย์กระจายสินค้า นครสวรรค์(RDC นครสวรรค์),1/3/23,2023-01-03T00:00:00.000Z,2023,1,3,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,147.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,บริษัท ซีพี ออลล์ จำกัด (มหาชน),1/3/23,2023-01-03T00:00:00.000Z,2023,1,3,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,288.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า RDCชลบุรีใหม่ W121,1/9/23,2023-01-09T00:00:00.000Z,2023,1,9,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,420.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า RDC WESTมหาชัย,1/9/23,2023-01-09T00:00:00.000Z,2023,1,9,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,252.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า DC5 สุวรรณภูมิ,1/9/23,2023-01-09T00:00:00.000Z,2023,1,9,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,504.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,บริษัท ซีพี ออลล์ จำกัด (มหาชน),1/9/23,2023-01-09T00:00:00.000Z,2023,1,9,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,600.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้าขอนแก่น (W801),1/10/23,2023-01-10T00:00:00.000Z,2023,1,10,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,252.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า RDC WESTมหาชัย,1/10/23,2023-01-10T00:00:00.000Z,2023,1,10,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,63.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศูนย์กระจายสินค้า DC5 สุวรรณภูมิ,1/10/23,2023-01-10T00:00:00.000Z,2023,1,10,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,168.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,ศุนย์กระจายสินค้า นครสวรรค์(RDC นครสวรรค์),1/10/23,2023-01-10T00:00:00.000Z,2023,1,10,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,147.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
7 - Eleven,บริษัท ซีพี ออลล์ จำกัด (มหาชน),1/10/23,2023-01-10T00:00:00.000Z,2023,1,10,,100%Mandarin Orange Malee 200ml 3x8 Leaf,,BRI,,692.0,Fruit Juice,Orange-Mandarin,3*8,200 ml
